TABLE_NAME,COLUMN_NAME,COLUMN_DATA_TYPE,ENCODING_TYPE
_cmc_1000_20000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_20000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_30000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_30000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_30000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_30000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_30000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_30000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_30000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_30000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_30000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_30000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_30000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_30000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_30000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_30000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_30000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_30000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_30000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_30000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_30000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_30000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_30000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_30000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_40000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_40000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_40000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_40000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_40000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_40000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_40000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_40000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_40000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_40000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_40000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_40000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_40000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_40000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_40000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_40000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_40000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_40000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_40000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_40000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_40000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_40000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_50000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_50000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_50000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_50000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_50000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_50000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_50000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_50000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_50000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_50000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_50000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_50000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_50000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_50000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_50000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_50000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_50000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_50000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_50000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_50000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_50000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_50000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_60000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_60000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_60000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_60000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_60000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_60000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_60000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_60000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_60000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_60000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_60000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_60000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_60000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_60000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_60000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_60000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_60000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_60000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_60000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_60000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_60000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_60000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_70000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_70000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_70000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_70000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_70000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_70000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_70000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_70000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_70000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_70000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_70000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_70000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_70000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_70000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_70000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_70000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_70000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_70000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_70000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_70000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_70000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_70000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_80000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_80000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_80000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_80000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_80000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_80000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_80000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_80000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_80000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_80000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_80000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_80000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_80000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_80000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_80000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_80000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_80000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_80000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_80000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_80000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_80000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_80000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_90000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_90000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_90000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_90000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_90000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_90000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_90000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_90000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_90000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_90000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_90000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_90000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_90000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_90000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_90000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_90000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_90000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_90000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_90000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_90000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_90000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_90000,string_LZ4_Uniform_0_1000,string,LZ4
_cmc_1000_100000,int_Unencoded_Uniform_0_1000,int,Unencoded
_cmc_1000_100000,int_Dictionary_Uniform_0_1000,int,Dictionary
_cmc_1000_100000,int_RunLength_Uniform_0_1000,int,RunLength
_cmc_1000_100000,int_FrameOfReference_Uniform_0_1000,int,FrameOfReference
_cmc_1000_100000,int_LZ4_Uniform_0_1000,int,LZ4
_cmc_1000_100000,long_Unencoded_Uniform_0_1000,long,Unencoded
_cmc_1000_100000,long_Dictionary_Uniform_0_1000,long,Dictionary
_cmc_1000_100000,long_RunLength_Uniform_0_1000,long,RunLength
_cmc_1000_100000,long_LZ4_Uniform_0_1000,long,LZ4
_cmc_1000_100000,float_Unencoded_Uniform_0_1000,float,Unencoded
_cmc_1000_100000,float_Dictionary_Uniform_0_1000,float,Dictionary
_cmc_1000_100000,float_RunLength_Uniform_0_1000,float,RunLength
_cmc_1000_100000,float_LZ4_Uniform_0_1000,float,LZ4
_cmc_1000_100000,double_Unencoded_Uniform_0_1000,double,Unencoded
_cmc_1000_100000,double_Dictionary_Uniform_0_1000,double,Dictionary
_cmc_1000_100000,double_RunLength_Uniform_0_1000,double,RunLength
_cmc_1000_100000,double_LZ4_Uniform_0_1000,double,LZ4
_cmc_1000_100000,string_Unencoded_Uniform_0_1000,string,Unencoded
_cmc_1000_100000,string_Dictionary_Uniform_0_1000,string,Dictionary
_cmc_1000_100000,string_RunLength_Uniform_0_1000,string,RunLength
_cmc_1000_100000,string_FixedStringDictionary_Uniform_0_1000,string,FixedStringDictionary
_cmc_1000_100000,string_LZ4_Uniform_0_1000,string,LZ4
